,rgnp,pgnp,ulc,gdfco,gdf,gdfim,gdfcf,gdfce
const,2.4300207776585796,0.094556342,-0.053625919,0.040011259,0.007035661,-0.090111338,-0.041177625,-0.14101196
L1.rgnp,-0.750065555,-0.004230809,0.005744749,-0.001919502,0.000166845,0.000119627,-0.002571741,-0.004339446
L1.pgnp,-0.095620788,0.082203751,-0.136788262,-0.072381206,0.032251347,0.1334548808691429,0.05402692,0.46015258055342967
L1.ulc,-6.213996325,-0.097768592,-0.495266054,-0.060314861,-0.005285188,0.2306348353053289,-0.157556073,-0.066122255
L1.gdfco,-7.414767828,-0.220149875,-0.397534566,-0.852758453,0.013623489176578851,0.1538378405559959,-0.298011132,-0.06241372
L1.gdf,-24.8640634,0.43807755187143366,1.8000366411195579,0.43406429778984357,-0.279505699,0.9897662849326729,1.3289040629025184,1.3717877280728303
L1.gdfim,1.0829128195295037,-0.116222951,-0.130263536,0.037258258267490206,0.027655285322094755,-0.366912844,0.24594154729545137,0.12746483018954205
L1.gdfcf,16.32725200646885,0.23654056372105553,-0.528955206,-0.092568576,0.026645602098596573,-0.023226219,-0.610121971,0.071206568
L1.gdfce,0.9105216590869598,-0.026929675,-0.044270655,0.001253751,-0.009550776,0.032370341,-0.192341683,-0.308255918
L2.rgnp,-0.56817751,0.004055827,0.011353958149786902,-0.000903338,0.000559994,-0.004681225,-0.003726451,-0.009196186
L2.pgnp,-1.156200679,-0.127478474,0.009701925,-0.098971636,-0.079633193,0.28696221882484785,0.088885195,0.4129858801928854
L2.ulc,-11.15711087,0.083655516,-0.099997041,-0.020407404,-0.001399593,0.062974946,-0.239913477,-0.399568994
L2.gdfco,3.012517644921608,-0.181639972,-0.817457894,-0.802415197,-0.054218642,0.558171239,-0.239036728,-0.331333516
L2.gdf,-18.1435233,0.035375582627769665,1.1179399834614605,0.39985882693267666,-0.01085715,-0.316201319,1.5186249627868262,1.5282537214010903
L2.gdfim,-4.438115241,-0.115745221,0.1323957364967571,0.073417046,0.033689151,-0.293256186,0.033536813319862066,0.18562427647896787
L2.gdfcf,13.468227520015478,-0.015992519,-0.277444337,-0.041899199,-0.020837419,0.16422278199460144,-0.663721683,0.18771786576348812
L2.gdfce,5.130418558076647,0.088610833,-0.198781449,-0.012623463,-0.009147971,0.038788618,-0.140479126,-0.359563772
L3.rgnp,-0.514984582,0.002509244,0.011692678563979611,-0.000840978,0.000945634,-0.008393039,0.000130679,-0.015314004
L3.pgnp,-11.48360744,-0.023972952,0.34681280641820217,0.014939625611435668,-0.037163412,0.4020658575404125,0.055857231486288544,-0.11567539
L3.ulc,-14.19530797,0.033720861,-0.025546506,0.031259146339056944,0.011732615,0.15980619507998736,-0.105920634,0.12408561424079881
L3.gdfco,-10.15496744,-0.281482951,-0.306628262,-0.475317205,0.025825914782906967,0.3536932022584227,-0.229773296,-0.396932779
L3.gdf,-15.43885798,-0.214293779,0.986200777,0.049640251226532116,0.062330774,-1.272158142,0.5476864194266244,0.9329605887514818
L3.gdfim,-6.405289887,-0.127142536,0.084261999,0.037832046189009046,0.076010228,-0.231479341,0.27002758496501544,-0.068789478
L3.gdfcf,9.2174016,0.028885428,-0.328287971,0.001531333,-0.040828223,0.4601452047056982,-0.15247941,-0.126046877
L3.gdfce,5.279940542,0.016816995117202138,-0.157949452,0.009834111,-0.033158018,0.11553745603192882,-0.163651325,-0.105269862
L4.rgnp,-0.166878183,-0.000618485,0.004916686,0.000502306,-4.63E-05,-0.005803862,0.000518267,-0.009218611
L4.pgnp,5.329899514864376,0.042486348131376125,0.2294296554257198,0.021677230382588883,0.12183743198189825,0.2801894356458106,0.3599193638092166,0.44844512417199117
L4.ulc,-4.834548093,0.015546852125809592,0.037876712567075387,0.012628864839437048,-0.071978761,-0.042872587,-0.190278369,-0.428450597
L4.gdfco,10.841602182564076,-0.18971884,-0.47022217,-0.281312668,0.072030554,0.2637973119511409,-0.04347631,-0.155466065
L4.gdf,-17.65150956,0.099973062,0.6203814437481997,-0.152831018,0.3261045825336538,-0.665280225,0.44041333194317095,3.387649961
L4.gdfim,-1.971233035,-0.072494847,0.17909534536942653,0.044866515,0.058796273,-0.032455528,0.074793494,0.076949512
L4.gdfcf,0.617824342,-0.061357114,0.1986065311767971,0.062066034,-0.038330628,0.31259097397642444,-0.280248515,-0.045155137
L4.gdfce,-2.977187047,-0.020523141,-0.036155101,-0.014218825,-0.061980811,-5.50E-05,-0.181083527,-0.47315524
