,Day,Aggregate,AggregateHouse11,AggregateHouse12,AggregateHouse1,AggregateHouse2,AggregateHouse3,AggregateHouse4,AggregateHouse5,AggregateHouse6,AggregateHouse7,AggregateHouse8,AggregateHouse9,AggregateHouse13,AggregateHouse15,AggregateHouse16,AggregateHouse17,AggregateHouse18,AggregateHouse19,AggregateHouse20
0,0101,13639322.0,,,,,,,,11900441.0,10747122.0,13489834.0,16352751.0,,3134881.0,,,,,
1,0102,10814553.0,,,,,,,,16896943.0,11440515.0,13806285.0,6546472.0,,3038319.0,,,,,
2,0103,8803882.0,,,,,,,,15827775.0,11679958.0,13781296.0,8678610.0,,7053207.0,,,,,
3,0104,10840764.0,,,,,,,,,14104625.0,8922101.0,6487457.0,,6613067.0,,,,,
4,0105,12205005.0,,,,,,,,,9704828.0,5329128.0,4540665.0,,2255329.0,,,,,
5,0106,8613321.0,,,,,,,,,11672953.0,8406615.0,7103459.0,,2779242.0,,,,,
6,0107,11036929.0,,,,,,,,,10310207.0,10809783.0,6324504.0,,2435631.0,,,,,
7,0108,10104152.0,,,,,,,,,8365019.0,10689804.0,6693770.0,,3326306.0,,,,,
8,0109,10611611.0,,,,,,,,,8731744.0,9896434.0,7222786.0,,3648286.0,,,,,
9,0110,10095719.0,,,,,,,,,10090434.0,11125596.0,5845768.0,,5219721.0,,,,,
10,0111,10901068.0,,,,,,,,,12742037.0,13578987.0,14601388.0,,4717626.0,11057019.0,,,,
11,0112,8249027.0,,,,,,,,,10329839.0,7800163.0,21372930.0,,7626064.0,18579440.0,,,,
12,0113,10104397.0,,,,,,,,,15335926.0,10798900.0,8570267.0,,6527336.0,8586896.0,,,,
13,0114,10510234.0,,,,,,,,,9335360.0,9954106.0,7196729.0,,4884261.0,10936493.0,,,,
14,0115,11687203.0,,,,,,,,,,,7232681.0,,2965374.0,10651013.0,,,,
15,0116,9422930.0,,,,,,,,,,,8039918.0,,2742654.0,13054079.0,,,,
16,0117,10926232.0,,,,,,,,,,,10135297.0,,2761620.0,10637980.0,,,,
17,0118,11012425.0,,,,,,,,,,,5451878.0,11492213.0,2128323.0,6669055.0,,,,
18,0119,13343237.0,,,,,,,,,,,5723764.0,10785456.0,2662792.0,8776309.0,,,,
19,0120,10453798.0,,,,,,,,,,,6581297.0,6924383.0,3678546.0,11353490.0,,,,
20,0121,8630208.0,,,,,,,,,,,6406466.0,4976601.0,5155709.0,10092301.0,,,,
21,0122,10984176.0,,,,,,,,,,,6786748.0,5395927.0,7535384.0,9901866.0,,,,
22,0123,13413999.0,,,,,,,,,,,10581324.0,4546258.0,5292985.0,13924785.0,,,,
23,0124,432598.0,,,,,,,,,,,309279.0,191654.0,304371.0,728428.0,,,,
24,0125,5254733.0,,,,,,,,,,,,,460084.0,2241448.0,,,,
25,0126,851574.0,,,,,,,,,,,,,397696.0,1315345.0,,,,
26,0127,648961.0,,,,,,,,,,,,,226400.0,473105.0,,,,
27,0128,522811.0,,,,,,,,,,,,,196558.0,889920.0,,,,
28,0129,535766.0,,,,,,,,,,,,,403853.0,410402.0,,,,
29,0130,263824.0,,,,,,,,,,,,,79711.0,410106.0,,,,
30,0131,155995.0,,,,,,,,,,,,,104164.0,295686.0,,,,
31,0201,99522.0,,,,,,,,,,,,,105706.0,306227.0,,,,
32,0202,117040.0,,,,,,,,,,,,,207445.0,198181.0,,,,
