书籍名称,国家,作者,时间,书籍评分,评分人数
红楼梦,中国,曹雪芹,1904/10/25,9.6,435740
活着,中国,余华,2012/8/1,9.4,860751
1984,,,,9.4,293884
哈利·波特,,J.K.罗琳 (J.K.Rowling),2008/12/1,9.7,115960
三体全集:地球往事三部曲,中国,刘慈欣,2012/1/1,9.5,197208
百年孤独,哥伦比亚,加西亚·马尔克斯,2011/6/1,9.3,439518
飘,美国,玛格丽特·米切尔,2000/9/1,9.3,217257
房思琪的初恋乐园,中国,林奕含,2018/2/1,9.2,393186
动物农场,英,乔治·奥威尔,2007/3/1,9.3,166503
三国演义（全二册）,中国,罗贯中,1998/5/1,9.3,173061
福尔摩斯探案全集（上中下）,英国,阿·柯南道尔,1981/8/1,9.3,137064
白夜行,日本,东野圭吾,2013/1/1,9.2,492410
小王子,法国,圣埃克苏佩里,2003/8/1,9.1,769801
安徒生童话故事集,丹麦,安徒生,1997/8/1,9.3,136496
呐喊,中国,鲁迅,1973/3/1,9.2,165948
撒哈拉的故事,中国,三毛,2003/8/1,9.2,182307
天龙八部,中国,金庸,1994/5/1,9.2,135477
邓小平时代,美国,傅高义 (Ezra.F.Vogel),2013/1/18,9.3,76022
悉达多: 一首印度的诗,德国,赫尔曼·黑塞,2017/1/1,9.2,130953
杀死一只知更鸟,美国,哈珀·李,2012/9/1,9.2,152192
失踪的孩子:那不勒斯四部曲4,意大利,埃莱娜·费兰特,2018/7/1,9.2,87735
明朝那些事儿（1-9）:限量版,中国,当年明月,2009/4/1,9.2,183764
新名字的故事: 那不勒斯四部曲2,意大利,埃莱娜·费兰特,2017/4/1,9.2,98437
野草,中国,鲁迅,1973/3/1,9.5,50045
沉默的大多数: 王小波杂文随笔全编,中国,王小波,1997/10/1,9.1,155022
中国历代政治得失,中国,钱穆,1905/6/23,9.2,76454
局外人,法国,阿尔贝·加缪,2010/8/1,9.1,249966
卡拉马佐夫兄弟,,,,9.6,39536
平凡的世界（全三部）,中国,路遥,2005/1/1,9,329750
白鹿原: 20周年精装典藏版,中国,陈忠实,2012/9/1,9.2,114015
人类简史: 从动物到上帝,以色列,尤瓦尔·赫拉利,2014/11/1,9.1,204771
罗杰疑案: 阿加莎·克里斯蒂作品02,英国,阿加莎·克里斯蒂,2013/3/1,9.2,81811
我与地坛: 史铁生代表作,中国,史铁生,2002/5/1,9.2,115997
彷徨,中国,鲁迅,1973/3/1,9.3,68502
围城,中国,,,9,452207
许三观卖血记,中国,余华,2012/9/1,9.2,176856
乡土中国,中国,,,9.2,96045
笑傲江湖（全四册）,中国,金庸,1994/5/1,9.1,113985
献给阿尔吉侬的花束,美,丹尼尔·凯斯,2015/4/1,9.1,118497
东方快车谋杀案,英,阿加莎·克里斯蒂,2006/5/1,9.1,143856
江城,美,彼得·海斯勒,2012/1/1,9.1,66009
肖申克的救赎,美,斯蒂芬·金,2006/7/1,9.1,124300
基督山伯爵,法国,大仲马,1991/12/1,9.1,131960
城南旧事: 纪念普及版,中国,林海音 文,2003/7/1,9.1,162156
霍乱时期的爱情,哥伦比亚,加西亚·马尔克斯,2012/9/1,9,294289
故事新编,,鲁迅,1973/12/1,9.4,46047
朝花夕拾,,鲁迅,1973/4/1,9.1,160534
万历十五年,美,黄仁宇,1997/5/1,9,207202
秋园,,杨本芬,2020/6/1,9,122957
艺术的故事,,,,9.5,27341
"置身事内

                
                   : 中国政府与经济发展",,兰小欢,2021/8/1,9.1,89006
月亮和六便士,英,毛姆,2006/8/1,9,215059
射雕英雄传,,金庸,1999/4/1,9.1,87772
"厌女

                
                   : 日本的女性嫌恶",,,,9.1,87250
追风筝的人,美,卡勒德·胡赛尼,2006/5/1,8.9,805456
"寻路中国

                
                   : 从乡村到工厂的自驾之旅",美,彼得·海斯勒,2011/1/1,9,58907
树上的男爵,,[意大利]伊塔洛·卡尔维诺,2012/4/1,9.1,64115
无人生还,,,,9,155745
刀锋,,[英]毛姆,2007/3/1,9,95440
西游记（全二册）,,吴承恩,2004/8/1,9.1,93455
格林童话全集,,[德]格林兄弟,1994/11/1,9,97517
中国少年儿童百科全书（全四册）,,林崇德 主编,1991/4/1,9.4,19584
嫌疑人X的献身,,,,8.9,533579
"黄金时代

                
                   : 时代三部曲",,王小波,1999/3/1,8.9,169773
太白金星有点烦,,,,9,112205
鼠疫,法,阿尔贝·加缪,2013/8/1,9.1,84615
傲慢与偏见,英,奥斯丁,1993/7/1,8.9,236611
"史记（全十册）

                
                   : （全十册）",,,,9.6,25762
"可能性的艺术

                
                   : 比较政治学30讲",,刘瑜,2022/4/1,9.1,44334
悲惨世界（上中下）,法,雨果,1992/6/1,9.1,64992
台北人,,白先勇,2010/10/1,9,77174
诗经,,孔丘 编订,2006/7/1,9.5,29647
"永恒的终结

                
                   : 关于时间旅行的终极奥秘和恢宏构想",美,艾萨克·阿西莫夫,2014/9/1,9.1,50084
"始于极限

                
                   : 女性主义往复书简",,,,9,77345
刘擎西方现代思想讲义,,刘擎,2021/1/1,9.2,39515
孽子,,白先勇,2010/10/1,9.2,50946
四世同堂,,老舍,2008/7/1,9.4,42801
神雕侠侣,,金庸,1994/5/1,8.9,103029
美丽新世界,,【英】奥尔德斯·赫胥黎,2017/6/1,9.1,62252
"历史深处的忧虑

                
                   : 近距离看美国之一",,林达,1997/5/1,9,46686
"上帝掷骰子吗

                
                   : 量子物理史话",,曹天元,2006/1/1,9.2,35692
灿烂千阳,美,卡勒德·胡赛尼,2007/9/1,8.9,125678
唐诗三百首,,,,9.4,28226
一个叫欧维的男人决定去死,瑞典,弗雷德里克·巴克曼,2015/12/1,9.1,73020
窗边的小豆豆,日,黑柳彻子,2003/1/1,8.8,216553
哭泣的骆驼,,三毛,2003/6/1,9,58521
"最好的告别

                
                   : 关于衰老与死亡，你必须知道的常识",美,阿图·葛文德（Atul Gawande）,2015/7/31,9,53004
美的历程,,李泽厚,2009/7/1,9.2,33654
绝叫,日,叶真中显,2020/7/1,8.9,117326
"文学回忆录

                
                   : 1989—1994",,木心 口述,2013/1/10,9.1,45283
"呼兰河传

                
                   : 1947年版本・原版珍藏",,,,9,86380
人间词话,,王国维,1998/12/1,9.1,56448
冬牧场,,李娟,2012/6/1,9.1,43142
毛泽东选集 第一卷,,毛泽东,1991/6/1,9.6,31791
"离开的，留下的

                
                   : 那不勒斯四部曲3",意,埃莱娜·费兰特,2017/10/1,8.9,80541
道德经,,黄元吉,1996/10/1,9.5,21291
罪与罚,俄,陀思妥耶夫斯基,2006/8/1,9.3,37352
"棋王·树王·孩子王

                
                   : 阿城文集 之一",,,,9.3,31021
看见,,柴静,2013/1/1,8.8,341993
也许你该找个人聊聊,,[美]洛莉·戈特利布,2021/7/28,9,54076
"叫魂

                
                   : 1768年中国妖术大恐慌",美,孔飞力,2014/6/1,9.2,33777
浪潮之巅,,吴军,2011/8/1,9,34235
"筚路维艰

                
                   : 中国社会主义路径的五次选择",,萧冬连,2014/10/1,9.5,19359
一间只属于自己的房间,英,弗吉尼亚·伍尔夫,2019/10/1,9.2,35076
爱你就像爱生命,,王小波,2008/5/1,8.8,117199
我们仨,,杨绛,2003/7/1,8.8,315571
桶川跟踪狂杀人事件,日,清水洁,2021/2/1,9,52377
失明症漫记,葡,若泽·萨拉马戈,2014/2/1,9.1,40740
遥远的向日葵地,,李娟,2017/11/1,9.1,38590
人生的枷锁,英,毛姆,2007/3/1,9.1,32087
看不见的城市,意,伊塔洛·卡尔维诺,2012/4/1,9,39168
"受戒

                
                   : 汪曾祺自选集",,汪曾祺,1987/10/1,9.4,28325
"巨人的陨落

                
                   : 世纪三部曲",,,,8.9,86545
海子的诗,,,,9,47666
教父,,[美]马里奥·普佐,1997/8/1,9,41192
飞鸟集,印,罗宾德拉纳德·泰戈尔,2004/6/1,8.9,67599
茶馆,,老舍,2002/1/1,9.2,35745
少年凯歌,,,,9.3,19564
人生的智慧,,(德)叔本华,2008/10/1,9.2,33997
西线无战事,,,,9.4,23513
流俗地,马来西亚,黎紫书,2021/4/1,9.2,24560
鹿鼎记,,金庸,2008/3/1,8.9,56716
斯通纳,美,约翰·威廉斯,2016/1/1,8.8,67011
"南京大屠杀

                
                   : 第二次世界大战中被遗忘的大浩劫",,[美]张纯如（Iris Chang）,2015/8/1,9.7,21418
边城,,沈从文,2002/4/1,8.7,234595
陆犯焉识,,严歌苓,2011/10/1,8.9,58874
额尔古纳河右岸,,迟子建,2019/6/1,9,57675
克莱因壶,日,冈岛二人,2019/9/1,8.8,74287
十万个为什么,,,,9.2,20676
面纱,英,威廉·萨默塞特·毛姆,2016/4/1,9,43776
人间草木,,汪曾祺,2005/1/1,9.2,34302
梦里花落知多少,,三毛,2007/6/1,8.8,99178
