bookname,author,year,score,population,url,comment
素食者,[韩] 韩江,2021,8.1,94498,https://book.douban.com/subject/35534519/,
长安的荔枝,马伯庸,2022,8.5,215244,https://book.douban.com/subject/36104107/,
食南之徒,马伯庸,2024,8.2,31316,https://book.douban.com/subject/36710597/,
太白金星有点烦,马伯庸,2023,9.0,112238,https://book.douban.com/subject/36328704/,
恶女的告白,[日] 叶真中显,2024,8.2,7857,https://book.douban.com/subject/36743030/,
少年來了,韩江,2018,9.2,6755,https://book.douban.com/subject/27593378/,
小城与不确定性的墙,[日] 村上春树,2024,8.1,3046,https://book.douban.com/subject/37016658/,
活着,余华,2012,9.4,860779,https://book.douban.com/subject/4913064/,
绝叫,[日] 叶真中显,2020,8.9,117346,https://book.douban.com/subject/35031587/,
日暮时分,[韩] 黄晳暎,2024,8.2,1610,https://book.douban.com/subject/36553465/,
乔瓦尼的房间,[美] 詹姆斯·鲍德温,2024,8.7,878,https://book.douban.com/subject/37023820/,
小巷人家,大米,2024,8.2,7880,https://book.douban.com/subject/36691906/,
素食者,韓江,2016,8.3,4105,https://book.douban.com/subject/26735623/,
女人的胜利,余华,2024,7.2,4976,https://book.douban.com/subject/36727316/,
秋园,杨本芬,2020,9.0,122973,https://book.douban.com/subject/34998019/,
明亮的夜晚,[韩]崔恩荣,2023,9.0,35677,https://book.douban.com/subject/36457094/,
悉达多,[德] 赫尔曼·黑塞,2017,9.2,130991,https://book.douban.com/subject/26980487/,
一句顶一万句,刘震云,2022,9.0,15154,https://book.douban.com/subject/36062390/,
怪画谜案,[日] 雨穴,2024,7.4,9433,https://book.douban.com/subject/36858240/,
遥远的救世主,豆豆,2005,8.6,48030,https://book.douban.com/subject/1322455/,
一句顶一万句,刘震云,2009,8.8,90091,https://book.douban.com/subject/3633461/,
额尔古纳河右岸,迟子建,2019,9.0,57688,https://book.douban.com/subject/34432750/,
许三观卖血记,余华,2012,9.2,176870,https://book.douban.com/subject/4760224/,
波兰人,(南非) J.M.库切,2024,8.2,2971,https://book.douban.com/subject/36808795/,
饭桌追凶,[美] 詹姆斯·亚飞、James Yaffe,2024,7.8,444,https://book.douban.com/subject/37022270/,
卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский),2015,9.6,39546,https://book.douban.com/subject/25887924/,
流俗地,[马来西亚] 黎紫书,2021,9.2,24564,https://book.douban.com/subject/35430425/,
窄门,[法] 安德烈·纪德,2018,7.6,38321,https://book.douban.com/subject/30331835/,
失踪的孩子,[意] 埃莱娜·费兰特,2018,9.2,87742,https://book.douban.com/subject/30172069/,
平面国,[英] 埃德温·A.艾勃特,2020,9.2,25705,https://book.douban.com/subject/35170896/,
杀死一只知更鸟,[美] 哈珀·李,2017,9.3,76111,https://book.douban.com/subject/26879778/,
失明症漫记,[葡] 若泽·萨拉马戈,2022,9.1,19786,https://book.douban.com/subject/35984787/,
植物妻子,[韩] 韩江,2023,7.5,4345,https://book.douban.com/subject/36164047/,
白夜行,[日] 东野圭吾,2013,9.2,492426,https://book.douban.com/subject/10554308/,
暗处的女儿,[意大利] 埃莱娜·费兰特,2024,9.0,3655,https://book.douban.com/subject/36721763/,
追风筝的人,[美] 卡勒德·胡赛尼,2006,8.9,805471,https://book.douban.com/subject/1770782/,
克莱因壶,[日] 冈岛二人,2019,8.8,74296,https://book.douban.com/subject/33658616/,
在细雨中呼喊,余华,2012,8.8,80205,https://book.douban.com/subject/20421947/,
不做告别,韩江,2024,7.6,1796,https://book.douban.com/subject/36438836/,
离开的，留下的,[意] 埃莱娜·费兰特,2017,8.9,80548,https://book.douban.com/subject/27104959/,
房思琪的初恋乐园,林奕含,2018,9.2,393206,https://book.douban.com/subject/27614904/,
新名字的故事,[意] 埃莱娜·费兰特,2017,9.2,98448,https://book.douban.com/subject/26986954/,
两京十五日,马伯庸,2020,8.1,29500,https://book.douban.com/subject/35080870/,
西游记（全二册）,吴承恩,2004,9.1,93459,https://book.douban.com/subject/1029553/,
六个说谎的大学生,[日] 浅仓秋成,2023,7.6,20089,https://book.douban.com/subject/36283547/,
生死疲劳,莫言,2022,9.0,48529,https://book.douban.com/subject/35587028/,
怪屋谜案,[日] 雨穴,2023,6.7,7575,https://book.douban.com/subject/36407256/,
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,2015,9.1,118509,https://book.douban.com/subject/26362836/,
红楼梦,[清] 曹雪芹 著、高鹗,1996,9.6,435755,https://book.douban.com/subject/1007305/,
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,2022,9.1,27144,https://book.douban.com/subject/35989392/,
悲伤的物理学,[保加利亚] 格奥尔基·戈斯波丁诺夫,2024,8.8,96,https://book.douban.com/subject/36932547/,
维吉尔之死,[奥] 赫尔曼·布洛赫,2024,8.8,137,https://book.douban.com/subject/36933259/,
束草的冬天,[法] 埃莉萨·秀雅·迪萨潘,2024,7.4,889,https://book.douban.com/subject/37042948/,
人生海海,麦家,2019,8.0,95687,https://book.douban.com/subject/30475767/,
夜晚的潜水艇,陈春成,2020,8.3,77604,https://book.douban.com/subject/35005045/,
百年孤独,[哥伦比亚] 加西亚·马尔克斯,2011,9.3,439542,https://book.douban.com/subject/6082808/,
西游八十一案,陈渐,2024,8.3,858,https://book.douban.com/subject/36878587/,
三体,刘慈欣,2008,8.9,502594,https://book.douban.com/subject/2567698/,
我的天才女友,[意] 埃莱娜·费兰特,2017,8.7,122529,https://book.douban.com/subject/26878124/,
大医·破晓篇,马伯庸,2022,8.6,15463,https://book.douban.com/subject/36069426/,
少年来了,韓江,2023,9.4,591,https://book.douban.com/subject/36448199/,
钢琴课,[英] 伊恩·麦克尤恩,2024,8.8,239,https://book.douban.com/subject/36954766/,
夜晚的游戏,[瑞典] 斯蒂格·达格曼,2024,8.8,138,https://book.douban.com/subject/37039141/,
我胆小如鼠,余华,2024,7.0,2399,https://book.douban.com/subject/36727318/,
失语者,[韩] 韩江,2023,7.1,1712,https://book.douban.com/subject/36438780/,
河流之齿,史迈,2024,8.1,715,https://book.douban.com/subject/36980164/,
大明王朝1566,刘和平,2016,9.5,14326,https://book.douban.com/subject/26925171/,
燕食记,葛亮,2022,8.6,8984,https://book.douban.com/subject/36021908/,
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,2015,9.1,73025,https://book.douban.com/subject/26672693/,
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,2012,9.0,294299,https://book.douban.com/subject/10594787/,
棋王·树王·孩子王,阿城,2016,9.3,31025,https://book.douban.com/subject/26734559/,
消失的13级台阶,[日] 高野和明,2020,8.6,105547,https://book.douban.com/subject/34996429/,
雅各布之书,奥尔加·托卡尔丘克,2024,9.5,61,https://book.douban.com/subject/36848782/,
罗杰疑案,[英] 阿加莎·克里斯蒂,2013,9.2,81824,https://book.douban.com/subject/21371175/,
我们八月见,[哥伦比亚]加西亚·马尔克斯,2024,7.7,11956,https://book.douban.com/subject/36754770/,
你的夏天还好吗？,[韩国] 金爱烂,2022,8.7,21953,https://book.douban.com/subject/36109174/,
解忧杂货店,[日] 东野圭吾,2014,8.5,767418,https://book.douban.com/subject/25862578/,
失控的照护,[日] 叶真中显,2024,8.1,1107,https://book.douban.com/subject/36962267/,
动物农场,[英]乔治·奥威尔,2010,9.5,63472,https://book.douban.com/subject/4908879/,
嫌疑人X的献身,[日] 东野圭吾,2008,8.9,533591,https://book.douban.com/subject/3211779/,
如果我们将在25岁死去,[日] 砂川雨路,2024,7.9,396,https://book.douban.com/subject/37013827/,
她对此感到厌烦,妚鹤,2023,9.0,18952,https://book.douban.com/subject/36392723/,
命运,蔡崇达,2022,8.9,31157,https://book.douban.com/subject/36084340/,
死神广播,[日] 白井智之,2024,8.0,648,https://book.douban.com/subject/36953534/,
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,2013,8.7,55986,https://book.douban.com/subject/24382569/,
沧浪之水,阎真,2001,8.4,34847,https://book.douban.com/subject/1054917/,
草民,蔡崇达,2024,8.2,5195,https://book.douban.com/subject/36897370/,
象棋的故事,[奥]斯蒂芬·茨威格,2024,8.9,1249,https://book.douban.com/subject/36872349/,
西线无战事,[德] 埃里希·玛丽亚·雷马克,2021,9.4,23519,https://book.douban.com/subject/35272817/,
外面是夏天,[韩]金爱烂,2022,8.7,8049,https://book.douban.com/subject/36109193/,
恶意,[日] 东野圭吾,2016,8.7,140557,https://book.douban.com/subject/26877752/,
Blue,[日] 叶真中显,2021,7.8,13344,https://book.douban.com/subject/35503551/,
金色梦乡,[日] 伊坂幸太郎,2016,8.8,58934,https://book.douban.com/subject/26864984/,
82年生的金智英,[韩]赵南柱,2019,8.1,93526,https://book.douban.com/subject/34434309/,
哈利·波特与魔法石,[英] J. K. 罗琳,2000,9.1,191852,https://book.douban.com/subject/1041007/,
